min_temp,scientific_name,common_name
-20 to -15,Abies amabilis (Douglas ex Loudon) Douglas ex Forbes,Pacific silver fir
-20 to -15,Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.,White fir
-20 to -15,Abies grandis (Douglas ex D. Don) Lindl.,Grand fir
-20 to -15,Abies lasiocarpa (Hook.) Nutt.,Subalpine fir
-20 to -15,Acer circinatum Pursh,Vine maple
-20 to -15,Acer glabrum Torr.,Rocky mountain maple
-20 to -15,Acer macrophyllum Pursh,Bigleaf maple
-20 to -15,Acer negundo L.,Boxelder
-20 to -15,Acer rubrum L.,Red maple
-20 to -15,Achillea millefolium L.,Common yarrow
-20 to -15,Achillea millefolium L. var. occidentalis DC.,Western yarrow
-20 to -15,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass
-20 to -15,Achnatherum speciosum (Trin. & Rupr.) Barkworth,Desert needlegrass
-20 to -15,Achnatherum thurberianum (Piper) Barkworth,Thurber's needlegrass
-20 to -15,Acorus calamus L.,Calamus
-20 to -15,Aesculus californica (Spach) Nutt.,California buckeye
-20 to -15,Agastache urticifolia (Benth.) Kuntze,Nettleleaf giant hyssop
-20 to -15,Agoseris grandiflora (Nutt.) Greene,Bigflower agoseris
-20 to -15,Agropyron cristatum (L.) Gaertn.,Crested wheatgrass
-20 to -15,Agropyron desertorum (Fisch. ex Link) Schult.,Desert wheatgrass
-20 to -15,Agrostis exarata Trin.,Spike bentgrass
-20 to -15,Agrostis gigantea Roth,Redtop
-20 to -15,Alisma subcordatum Raf.,American water plantain
-20 to -15,Alnus incana (L.) Moench,Gray alder
-20 to -15,Alnus rubra Bong.,Red alder
-20 to -15,Alnus viridis (Chaix) DC. ssp. sinuata (Regel) Á. Löve & D. Löve,Sitka alder
-20 to -15,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.,Saskatoon serviceberry
-20 to -15,Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. semiintegrifolia (Hook.) C.L. Hitchc.,Saskatoon serviceberry
-20 to -15,Amelanchier utahensis Koehne,Utah serviceberry
-15 to -10,Ammophila breviligulata Fernald,American beachgrass
-15 to -10,Amorpha fruticosa L.,False indigo bush
-15 to -10,Anemopsis californica (Nutt.) Hook. & Arn.,Yerba mansa
-15 to -10,Apocynum cannabinum L.,Indianhemp
-15 to -10,Arbutus menziesii Pursh,Pacific madrone
-15 to -10,Arctostaphylos columbiana Piper,Hairy manzanita
-15 to -10,Arctostaphylos nevadensis A. Gray,Pinemat manzanita
-15 to -10,Arctostaphylos patula Greene,Greenleaf manzanita
-15 to -10,Arctostaphylos uva-ursi (L.) Spreng.,Kinnikinnick
-15 to -10,Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl,Tall oatgrass
-15 to -10,Artemisia arbuscula Nutt.,Little sagebrush
-15 to -10,Artemisia ludoviciana Nutt.,White sagebrush
-15 to -10,Artemisia nova A. Nelson,Black sagebrush
-15 to -10,Artemisia tridentata Nutt.,Big sagebrush
-15 to -10,Artemisia tridentata Nutt. ssp. tridentata ,Basin big sagebrush
-15 to -10,Artemisia tridentata Nutt. ssp. vaseyana (Rydb.) Beetle,Mountain big sagebrush
-15 to -10,Artemisia tridentata Nutt. ssp. wyomingensis Beetle & Young,Wyoming big sagebrush
-15 to -10,Artemisia tripartita Rydb.,Threetip sagebrush
-15 to -10,Asclepias speciosa Torr.,Showy milkweed
-15 to -10,Astragalus canadensis L.,Canadian milkvetch
-15 to -10,Astragalus filipes Torr. ex A. Gray,Basalt milkvetch
-15 to -10,Atriplex canescens (Pursh) Nutt.,Fourwing saltbush
-15 to -10,Atriplex confertifolia (Torr. & Frém.) S. Watson,Shadscale saltbush
-15 to -10,Baccharis pilularis DC.,Coyotebrush
